# 01 ==========================================================================================;;;;;;
# 02 tracciato record: ( separatore tra campi ==> ; ) non sono ammessi caratteri spazio nei campi);;;;;
# 03 ==========================================================================================;;;;;;
# 04 DB; type ; Application ; Connection ; Database ; Owner ; Table 
# 05 ==========================================================================================;;;;;;
# 06 DB          = Valore fisso che identifica la riga dati, a partire dal primo carattere;;;;;;
# 07 type        = [sql] oppure [ora] per individuare la tipologia di database;;;;;;
# 08 Application = Codice applicazione;;;;;;
# 09 Connection  = Connessione al database;;;;;;
# 10 Database    = Nome database;;;;;;
# 11 Owner       = Nome schema;;;;;;
# 12 Table       = Nome tabella;;;;;;
# 13 ==========================================================================================;;;;;;
DB; type ; Application ; Connection ; Database ; Owner ; Table 
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; L_SOCIETA_RATING
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; L_TITOLO
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; LOG_ERRORI_CARICAMENTO
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; MSTR_B0001
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; RM_EVIDENZE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; RM_EVIDENZE_STORICO
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; RM_MSTR_BULK_B0001
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; RM_MSTR_BULK_B0005
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; RM_MSTR_BULK_B0008
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; RM_MSTR_BULK_B0101
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; RM_MSTR_BULK_B0102
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; RM_MSTR_BULK_B0103
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; RM_MSTR_BULK_B0104
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; RM_MSTR_BULK_B0204
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; RM_MSTR_BULK_D0001
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; RM_MSTR_BULK_E0001
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; RM_MSTR_BULK_F0023
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; T_ANAGRAFE_DIPENDENTE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; T_ANAGRAFE_NDG
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; T_DOSSIER
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; T_ENTE_EMITTENTE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; T_GESTORE_NDG
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; T_MOVIMENTI_TITOLI_NEGOZIAZIONE
DB ; sql ; CONTROLLI_A_DISTANZA ; IN01CC2C-7\CAD99C1S,1453 ; CAD_MODELLO ; dbo ; T_RAPPORTO
